exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
69,83,0,0,0,0,0,5673,4175,0.0,317,63.4
67,81,0,0,0,0,0,5678,4174,0.0,318,63.6
67,78,0,0,0,0,0,5684,4171,0.0,319,63.8
64,77,0,0,0,0,0,5688,4171,0.0,320,64.0
64,75,0,0,0,0,0,5691,4170,0.0,321,64.2
64,73,0,0,0,0,0,5695,4168,0.0,322,64.4
60,70,0,0,0,0,0,5703,4167,0.0,323,64.6
59,71,0,0,0,0,0,5704,4166,0.0,324,64.8
61,68,0,0,0,0,0,5708,4163,0.0,325,65.0
61,62,0,0,0,0,0,5714,4163,0.0,326,65.2
61,59,0,0,0,0,0,5718,4162,0.0,327,65.4
59,58,0,0,0,0,0,5721,4162,0.0,328,65.6
58,58,0,0,0,0,0,5724,4160,0.0,329,65.8
56,59,0,0,0,0,0,5726,4159,0.0,330,66.0
52,61,0,0,0,0,0,5729,4158,0.0,331,66.2
49,63,0,0,0,0,0,5731,4157,0.0,332,66.4
47,62,0,0,0,0,0,5735,4156,0.0,333,66.6
47,61,0,0,0,0,0,5737,4155,0.0,334,66.8
48,60,0,0,0,0,0,5740,4152,0.0,335,67.0
49,56,0,0,0,0,0,5744,4151,0.0,336,67.2
48,54,0,0,0,0,0,5747,4151,0.0,337,67.4
47,54,0,0,0,0,0,5748,4151,0.0,338,67.6
44,58,0,0,0,0,0,5749,4149,0.0,339,67.8
43,57,0,0,0,0,0,5751,4149,0.0,340,68.0
40,57,0,0,0,0,0,5755,4148,0.0,341,68.2
40,55,0,0,0,0,0,5758,4147,0.0,342,68.4
39,51,0,0,0,0,0,5763,4147,0.0,343,68.6
39,48,0,0,0,0,0,5766,4147,0.0,344,68.8
34,50,0,0,0,0,0,5769,4147,0.0,345,69.0
34,50,0,0,0,0,0,5770,4146,0.0,346,69.2
33,47,0,0,0,0,0,5774,4146,0.0,347,69.4
31,45,0,0,0,0,0,5778,4146,0.0,348,69.6
29,44,0,0,0,0,0,5781,4146,0.0,349,69.8
30,40,0,0,0,0,0,5785,4145,0.0,350,70.0
