exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
446,448,0,0,0,0,0,4298,4808,0.0,227,45.4
429,449,0,0,0,0,0,4321,4801,0.0,228,45.6
425,432,0,0,0,0,0,4354,4789,0.0,229,45.8
418,422,0,0,0,0,0,4385,4775,0.0,230,46.0
404,420,0,0,0,0,0,4411,4765,0.0,231,46.2
397,414,0,0,0,0,0,4434,4755,0.0,232,46.4
392,407,0,0,0,0,0,4456,4745,0.0,233,46.6
387,388,0,0,0,0,0,4489,4736,0.0,234,46.8
382,384,0,0,0,0,0,4510,4724,0.0,235,47.0
375,369,0,0,0,0,0,4537,4719,0.0,236,47.2
365,359,0,0,0,0,0,4561,4715,0.0,237,47.4
361,348,0,0,0,0,0,4586,4705,0.0,238,47.6
350,339,0,0,0,0,0,4611,4700,0.0,239,47.8
339,334,0,0,0,0,0,4632,4695,0.0,240,48.0
332,335,0,0,0,0,0,4648,4685,0.0,241,48.2
321,326,0,0,0,0,0,4671,4682,0.0,242,48.4
314,312,0,0,0,0,0,4697,4677,0.0,243,48.6
315,305,0,0,0,0,0,4715,4665,0.0,244,48.8
311,301,0,0,0,0,0,4731,4657,0.0,245,49.0
304,296,0,0,0,0,0,4747,4653,0.0,246,49.2
302,287,0,0,0,0,0,4764,4647,0.0,247,49.4
303,279,0,0,0,0,0,4781,4637,0.0,248,49.6
304,269,0,0,0,0,0,4801,4626,0.0,249,49.8
294,274,0,0,0,0,0,4813,4619,0.0,250,50.0
288,264,0,0,0,0,0,4833,4615,0.0,251,50.2
279,263,0,0,0,0,0,4846,4612,0.0,252,50.4
276,256,0,0,0,0,0,4862,4606,0.0,253,50.6
264,261,0,0,0,0,0,4873,4602,0.0,254,50.8
256,265,0,0,0,0,0,4884,4595,0.0,255,51.0
250,256,0,0,0,0,0,4902,4592,0.0,256,51.2
246,243,0,0,0,0,0,4925,4586,0.0,257,51.4
241,240,0,0,0,0,0,4937,4582,0.0,258,51.6
233,232,0,0,0,0,0,4955,4580,0.0,259,51.8
225,230,0,0,0,0,0,4970,4575,0.0,260,52.0
225,221,0,0,0,0,0,4987,4567,0.0,261,52.2
216,221,0,0,0,0,0,5000,4563,0.0,262,52.4
219,209,0,0,0,0,0,5016,4556,0.0,263,52.6
209,217,0,0,0,0,0,5027,4547,0.0,264,52.8
207,217,0,0,0,0,0,5034,4542,0.0,265,53.0
197,221,0,0,0,0,0,5046,4536,0.0,266,53.2
198,221,0,0,0,0,0,5054,4527,0.0,267,53.4
197,215,0,0,0,0,0,5066,4522,0.0,268,53.6
191,215,0,0,0,0,0,5075,4519,0.0,269,53.8
190,208,0,0,0,0,0,5089,4513,0.0,270,54.0
188,209,0,0,0,0,0,5096,4507,0.0,271,54.2
182,211,0,0,0,0,0,5103,4504,0.0,272,54.4
175,211,0,0,0,0,0,5115,4499,0.0,273,54.6
174,209,0,0,0,0,0,5126,4491,0.0,274,54.8
169,203,0,0,0,0,0,5141,4487,0.0,275,55.0
165,204,0,0,0,0,0,5153,4478,0.0,276,55.2
162,203,0,0,0,0,0,5164,4471,0.0,277,55.4
164,196,0,0,0,0,0,5175,4465,0.0,278,55.6
159,188,0,0,0,0,0,5189,4464,0.0,279,55.8
152,183,0,0,0,0,0,5201,4464,0.0,280,56.0
147,184,0,0,0,0,0,5206,4463,0.0,281,56.2
146,183,0,0,0,0,0,5213,4458,0.0,282,56.4
139,180,0,0,0,0,0,5227,4454,0.0,283,56.6
137,173,0,0,0,0,0,5237,4453,0.0,284,56.8
136,169,0,0,0,0,0,5246,4449,0.0,285,57.0
131,167,0,0,0,0,0,5253,4449,0.0,286,57.2
130,164,0,0,0,0,0,5262,4444,0.0,287,57.4
126,157,0,0,0,0,0,5273,4444,0.0,288,57.6
124,153,0,0,0,0,0,5283,4440,0.0,289,57.8
120,149,0,0,0,0,0,5294,4437,0.0,290,58.0
127,144,0,0,0,0,0,5301,4428,0.0,291,58.2
129,137,0,0,0,0,0,5311,4423,0.0,292,58.4
121,135,0,0,0,0,0,5322,4422,0.0,293,58.6
114,131,0,0,0,0,0,5334,4421,0.0,294,58.8
117,127,0,0,0,0,0,5338,4418,0.0,295,59.0
114,125,0,0,0,0,0,5345,4416,0.0,296,59.2
110,127,0,0,0,0,0,5349,4414,0.0,297,59.4
107,124,0,0,0,0,0,5356,4413,0.0,298,59.6
104,121,0,0,0,0,0,5365,4410,0.0,299,59.8
102,112,0,0,0,0,0,5376,4410,0.0,300,60.0
99,111,0,0,0,0,0,5381,4409,0.0,301,60.2
97,110,0,0,0,0,0,5386,4407,0.0,302,60.4
95,104,0,0,0,0,0,5394,4407,0.0,303,60.6
92,100,0,0,0,0,0,5401,4407,0.0,304,60.8
85,105,0,0,0,0,0,5403,4407,0.0,305,61.0
83,104,0,0,0,0,0,5407,4406,0.0,306,61.2
85,98,0,0,0,0,0,5414,4403,0.0,307,61.4
82,97,0,0,0,0,0,5421,4400,0.0,308,61.6
81,91,0,0,0,0,0,5429,4399,0.0,309,61.8
81,91,0,0,0,0,0,5432,4396,0.0,310,62.0
74,95,0,0,0,0,0,5436,4395,0.0,311,62.2
74,92,0,0,0,0,0,5441,4393,0.0,312,62.4
77,87,0,0,0,0,0,5447,4389,0.0,313,62.6
75,84,0,0,0,0,0,5452,4389,0.0,314,62.8
76,80,0,0,0,0,0,5458,4386,0.0,315,63.0
77,77,0,0,0,0,0,5462,4384,0.0,316,63.2
74,73,0,0,0,0,0,5469,4384,0.0,317,63.4
73,76,0,0,0,0,0,5469,4382,0.0,318,63.6
70,75,0,0,0,0,0,5474,4381,0.0,319,63.8
68,74,0,0,0,0,0,5478,4380,0.0,320,64.0
69,71,0,0,0,0,0,5482,4378,0.0,321,64.2
68,64,0,0,0,0,0,5490,4378,0.0,322,64.4
67,60,0,0,0,0,0,5495,4378,0.0,323,64.6
61,64,0,0,0,0,0,5498,4377,0.0,324,64.8
56,61,0,0,0,0,0,5509,4374,0.0,325,65.0
57,57,0,0,0,0,0,5515,4371,0.0,326,65.2
